VARIABLE NAME	API data type	NAME OF DATA ELEMENT
CIP04CERT1	integer	Certificate of less than one academic year in Architecture And Related Services.
CIP04CERT2	integer	Certificate of at least one but less than two academic years in Architecture And Related Services.
CIP04ASSOC	integer	Associate degree in Architecture And Related Services.
CIP04CERT4	integer	Award of at least two but less than four academic years in Architecture And Related Services.
CIP04BACHL	integer	Bachelor's degree in Architecture And Related Services.
CIP05CERT1	integer	Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies.
CIP05CERT2	integer	Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies.
CIP05ASSOC	integer	Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies.
CIP05CERT4	integer	Award of at least two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies.
CIP05BACHL	integer	Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies.
CIP09CERT1	integer	Certificate of less than one academic year in Communication, Journalism, And Related Programs.
CIP09CERT2	integer	Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs.
CIP09ASSOC	integer	Associate degree in Communication, Journalism, And Related Programs.
CIP09CERT4	integer	Award of at least two but less than four academic years in Communication, Journalism, And Related Programs.
CIP09BACHL	integer	Bachelor's degree in Communication, Journalism, And Related Programs.
CIP10CERT1	integer	Certificate of less than one academic year in Communications Technologies/Technicians And Support Services.
CIP10CERT2	integer	Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.
CIP10ASSOC	integer	Associate degree in Communications Technologies/Technicians And Support Services.
CIP10CERT4	integer	Award of at least two but less than four academic years in Communications Technologies/Technicians And Support Services.
CIP10BACHL	integer	Bachelor's degree in Communications Technologies/Technicians And Support Services.
CIP11CERT1	integer	Certificate of less than one academic year in Computer And Information Sciences And Support Services.
CIP11CERT2	integer	Certificate of at least one but less than two academic years in Computer And Information Sciences And Support Services.
CIP11ASSOC	integer	Associate degree in Computer And Information Sciences And Support Services.
CIP11CERT4	integer	Award of at least two but less than four academic years in Computer And Information Sciences And Support Services.
CIP11BACHL	integer	Bachelor's degree in Computer And Information Sciences And Support Services.
CIP12CERT1	integer	Certificate of less than one academic year in Personal And Culinary Services.
CIP12CERT2	integer	Certificate of at least one but less than two academic years in Personal And Culinary Services.
CIP12ASSOC	integer	Associate degree in Personal And Culinary Services.
CIP12CERT4	integer	Award of at least two but less than four academic years in Personal And Culinary Services.
CIP12BACHL	integer	Bachelor's degree in Personal And Culinary Services.
CIP13CERT1	integer	Certificate of less than one academic year in Education.
CIP13CERT2	integer	Certificate of at least one but less than two academic years in Education.
CIP13ASSOC	integer	Associate degree in Education.
CIP13CERT4	integer	Award of at least two but less than four academic years in Education.
CIP13BACHL	integer	Bachelor's degree in Education.
CIP14CERT1	integer	Certificate of less than one academic year in Engineering.
CIP14CERT2	integer	Certificate of at least one but less than two academic years in Engineering.
CIP14ASSOC	integer	Associate degree in Engineering.
CIP14CERT4	integer	Award of at least two but less than four academic years in Engineering.
CIP14BACHL	integer	Bachelor's degree in Engineering.
CIP15CERT1	integer	Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields.
CIP15CERT2	integer	Certificate of at least one but less than two academic years in Engineering Technologies And Engineering-Related Fields.
CIP15ASSOC	integer	Associate degree in Engineering Technologies And Engineering-Related Fields.
CIP15CERT4	integer	Award of at least two but less than four academic years in Engineering Technologies And Engineering-Related Fields.
CIP15BACHL	integer	Bachelor's degree in Engineering Technologies And Engineering-Related Fields.
CIP16CERT1	integer	Certificate of less than one academic year in Foreign Languages, Literatures, And Linguistics.
CIP16CERT2	integer	Certificate of at least one but less than two academic years in Foreign Languages, Literatures, And Linguistics.
CIP16ASSOC	integer	Associate degree in Foreign Languages, Literatures, And Linguistics.
CIP16CERT4	integer	Award of at least two but less than four academic years in Foreign Languages, Literatures, And Linguistics.
CIP16BACHL	integer	Bachelor's degree in Foreign Languages, Literatures, And Linguistics.
CIP19CERT1	integer	Certificate of less than one academic year in Family And Consumer Sciences/Human Sciences.
CIP19CERT2	integer	Certificate of at least one but less than two academic years in Family And Consumer Sciences/Human Sciences.
CIP19ASSOC	integer	Associate degree in Family And Consumer Sciences/Human Sciences.
CIP19CERT4	integer	Award of at least two but less than four academic years in Family And Consumer Sciences/Human Sciences.
CIP19BACHL	integer	Bachelor's degree in Family And Consumer Sciences/Human Sciences.
CIP22CERT1	integer	Certificate of less than one academic year in Legal Professions And Studies.
CIP22CERT2	integer	Certificate of at least one but less than two academic years in Legal Professions And Studies.
CIP22ASSOC	integer	Associate degree in Legal Professions And Studies.
CIP22CERT4	integer	Award of at least two but less than four academic years in Legal Professions And Studies.
CIP22BACHL	integer	Bachelor's degree in Legal Professions And Studies.
CIP23CERT1	integer	Certificate of less than one academic year in English Language And Literature/Letters.
CIP23CERT2	integer	Certificate of at least one but less than two academic years in English Language And Literature/Letters.
CIP23ASSOC	integer	Associate degree in English Language And Literature/Letters.
CIP23CERT4	integer	Award of at least two but less than four academic years in English Language And Literature/Letters.
CIP23BACHL	integer	Bachelor's degree in English Language And Literature/Letters.
CIP24CERT1	integer	Certificate of less than one academic year in Liberal Arts And Sciences, General Studies And Humanities.
CIP24CERT2	integer	Certificate of at least one but less than two academic years in Liberal Arts And Sciences, General Studies And Humanities.
CIP24ASSOC	integer	Associate degree in Liberal Arts And Sciences, General Studies And Humanities.
CIP24CERT4	integer	Award of at least two but less than four academic years in Liberal Arts And Sciences, General Studies And Humanities.
CIP24BACHL	integer	Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities.
CIP25CERT1	integer	Certificate of less than one academic year in Library Science.
CIP25CERT2	integer	Certificate of at least one but less than two academic years in Library Science.
CIP25ASSOC	integer	Associate degree in Library Science.
CIP25CERT4	integer	Award of at least two but less than four academic years in Library Science.
CIP25BACHL	integer	Bachelor's degree in Library Science.
CIP26CERT1	integer	Certificate of less than one academic year in Biological And Biomedical Sciences.
CIP26CERT2	integer	Certificate of at least one but less than two academic years in Biological And Biomedical Sciences.
CIP26ASSOC	integer	Associate degree in Biological And Biomedical Sciences.
CIP26CERT4	integer	Award of at least two but less than four academic years in Biological And Biomedical Sciences.
CIP26BACHL	integer	Bachelor's degree in Biological And Biomedical Sciences.
CIP27CERT1	integer	Certificate of less than one academic year in Mathematics And Statistics.
CIP27CERT2	integer	Certificate of at least one but less than two academic years in Mathematics And Statistics.
CIP27ASSOC	integer	Associate degree in Mathematics And Statistics.
CIP27CERT4	integer	Award of at least two but less than four academic years in Mathematics And Statistics.
CIP27BACHL	integer	Bachelor's degree in Mathematics And Statistics.
CIP29CERT1	integer	Certificate of less than one academic year in Military Technologies And Applied Sciences.
CIP29CERT2	integer	Certificate of at least one but less than two academic years in Military Technologies And Applied Sciences.
CIP29ASSOC	integer	Associate degree in Military Technologies And Applied Sciences.
CIP29CERT4	integer	Award of at least two but less than four academic years in Military Technologies And Applied Sciences.
CIP29BACHL	integer	Bachelor's degree in Military Technologies And Applied Sciences.
CIP30CERT1	integer	Certificate of less than one academic year in Multi/Interdisciplinary Studies.
CIP30CERT2	integer	Certificate of at least one but less than two academic years in Multi/Interdisciplinary Studies.
CIP30ASSOC	integer	Associate degree in Multi/Interdisciplinary Studies.
CIP30CERT4	integer	Award of at least two but less than four academic years in Multi/Interdisciplinary Studies.
CIP30BACHL	integer	Bachelor's degree in Multi/Interdisciplinary Studies.
CIP31CERT1	integer	Certificate of less than one academic year in Parks, Recreation, Leisure, And Fitness Studies.
CIP31CERT2	integer	Certificate of at least one but less than two academic years in Parks, Recreation, Leisure, And Fitness Studies.
CIP31ASSOC	integer	Associate degree in Parks, Recreation, Leisure, And Fitness Studies.
CIP31CERT4	integer	Award of at least two but less than four academic years in Parks, Recreation, Leisure, And Fitness Studies.
CIP31BACHL	integer	Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies.
CIP38CERT1	integer	Certificate of less than one academic year in Philosophy And Religious Studies.
CIP38CERT2	integer	Certificate of at least one but less than two academic years in Philosophy And Religious Studies.
CIP38ASSOC	integer	Associate degree in Philosophy And Religious Studies.
CIP38CERT4	integer	Award of at least two but less than four academic years in Philosophy And Religious Studies.
CIP38BACHL	integer	Bachelor's degree in Philosophy And Religious Studies.
CIP39CERT1	integer	Certificate of less than one academic year in Theology And Religious Vocations.
CIP39CERT2	integer	Certificate of at least one but less than two academic years in Theology And Religious Vocations.
CIP39ASSOC	integer	Associate degree in Theology And Religious Vocations.
CIP39CERT4	integer	Award of at least two but less than four academic years in Theology And Religious Vocations.
CIP39BACHL	integer	Bachelor's degree in Theology And Religious Vocations.
CIP40CERT1	integer	Certificate of less than one academic year in Physical Sciences.
CIP40CERT2	integer	Certificate of at least one but less than two academic years in Physical Sciences.
CIP40ASSOC	integer	Associate degree in Physical Sciences.
CIP40CERT4	integer	Award of at least two but less than four academic years in Physical Sciences.
CIP40BACHL	integer	Bachelor's degree in Physical Sciences.
CIP41CERT1	integer	Certificate of less than one academic year in Science Technologies/Technicians.
CIP41CERT2	integer	Certificate of at least one but less than two academic years in Science Technologies/Technicians.
CIP41ASSOC	integer	Associate degree in Science Technologies/Technicians.
CIP41CERT4	integer	Award of at least two but less than four academic years in Science Technologies/Technicians.
CIP41BACHL	integer	Bachelor's degree in Science Technologies/Technicians.
CIP42CERT1	integer	Certificate of less than one academic year in Psychology.
CIP42CERT2	integer	Certificate of at least one but less than two academic years in Psychology.
CIP42ASSOC	integer	Associate degree in Psychology.
CIP42CERT4	integer	Award of at least two but less than four academic years in Psychology.
CIP42BACHL	integer	Bachelor's degree in Psychology.
CIP43CERT1	integer	Certificate of less than one academic year in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.
CIP43CERT2	integer	Certificate of at least one but less than two academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.
CIP43ASSOC	integer	Associate degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.
CIP43CERT4	integer	Award of at least two but less than four academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.
CIP43BACHL	integer	Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.
CIP44CERT1	integer	Certificate of less than one academic year in Public Administration And Social Service Professions.
CIP44CERT2	integer	Certificate of at least one but less than two academic years in Public Administration And Social Service Professions.
CIP44ASSOC	integer	Associate degree in Public Administration And Social Service Professions.
CIP44CERT4	integer	Award of at least two but less than four academic years in Public Administration And Social Service Professions.
CIP44BACHL	integer	Bachelor's degree in Public Administration And Social Service Professions.
CIP45CERT1	integer	Certificate of less than one academic year in Social Sciences.
CIP45CERT2	integer	Certificate of at least one but less than two academic years in Social Sciences.
CIP45ASSOC	integer	Associate degree in Social Sciences.
CIP45CERT4	integer	Award of at least two but less than four academic years in Social Sciences.
CIP45BACHL	integer	Bachelor's degree in Social Sciences.
CIP46CERT1	integer	Certificate of less than one academic year in Construction Trades.
CIP46CERT2	integer	Certificate of at least one but less than two academic years in Construction Trades.
CIP46ASSOC	integer	Associate degree in Construction Trades.
CIP46CERT4	integer	Award of at least two but less than four academic years in Construction Trades.
CIP46BACHL	integer	Bachelor's degree in Construction Trades.
CIP47CERT1	integer	Certificate of less than one academic year in Mechanic And Repair Technologies/Technicians.
CIP47CERT2	integer	Certificate of at least one but less than two academic years in Mechanic And Repair Technologies/Technicians.
CIP47ASSOC	integer	Associate degree in Mechanic And Repair Technologies/Technicians.
CIP47CERT4	integer	Award of at least two but less than four academic years in Mechanic And Repair Technologies/Technicians.
CIP47BACHL	integer	Bachelor's degree in Mechanic And Repair Technologies/Technicians.
CIP48CERT1	integer	Certificate of less than one academic year in Precision Production.
CIP48CERT2	integer	Certificate of at least one but less than two academic years in Precision Production.
CIP48ASSOC	integer	Associate degree in Precision Production.
CIP48CERT4	integer	Award of at least two but less than four academic years in Precision Production.
CIP48BACHL	integer	Bachelor's degree in Precision Production.
CIP49CERT1	integer	Certificate of less than one academic year in Transportation And Materials Moving.
CIP49CERT2	integer	Certificate of at least one but less than two academic years in Transportation And Materials Moving.
CIP49ASSOC	integer	Associate degree in Transportation And Materials Moving.
CIP49CERT4	integer	Award of at least two but less than four academic years in Transportation And Materials Moving.
CIP49BACHL	integer	Bachelor's degree in Transportation And Materials Moving.
CIP50CERT1	integer	Certificate of less than one academic year in Visual And Performing Arts.
CIP50CERT2	integer	Certificate of at least one but less than two academic years in Visual And Performing Arts.
CIP50ASSOC	integer	Associate degree in Visual And Performing Arts.
CIP50CERT4	integer	Award of at least two but less than four academic years in Visual And Performing Arts.
CIP50BACHL	integer	Bachelor's degree in Visual And Performing Arts.
CIP51CERT1	integer	Certificate of less than one academic year in Health Professions And Related Programs.
CIP51CERT2	integer	Certificate of at least one but less than two academic years in Health Professions And Related Programs.
CIP51ASSOC	integer	Associate degree in Health Professions And Related Programs.
CIP51CERT4	integer	Award of at least two but less than four academic years in Health Professions And Related Programs.
CIP51BACHL	integer	Bachelor's degree in Health Professions And Related Programs.
CIP52CERT1	integer	Certificate of less than one academic year in Business, Management, Marketing, And Related Support Services.
CIP52CERT2	integer	Certificate of at least one but less than two academic years in Business, Management, Marketing, And Related Support Services.
CIP52ASSOC	integer	Associate degree in Business, Management, Marketing, And Related Support Services.
CIP52CERT4	integer	Award of at least two but less than four academic years in Business, Management, Marketing, And Related Support Services.
CIP52BACHL	integer	Bachelor's degree in Business, Management, Marketing, And Related Support Services.
CIP54CERT1	integer	Certificate of less than one academic year in History.
CIP54CERT2	integer	Certificate of at least one but less than two academic years in History.
CIP54ASSOC	integer	Associate degree in History.
CIP54CERT4	integer	Award of at least two but less than four academic years in History.
CIP54BACHL	integer	Bachelor's degree in History.
DISTANCEONLY	integer	Flag for distance-education-only education
UGDS	integer	Enrollment of undergraduate certificate/degree-seeking students
UG	integer	Enrollment of all undergraduate students
UGDS_WHITE	float	Total share of enrollment of undergraduate degree-seeking students who are white
UGDS_BLACK	float	Total share of enrollment of undergraduate degree-seeking students who are black
UGDS_HISP	float	Total share of enrollment of undergraduate degree-seeking students who are Hispanic
UGDS_ASIAN	float	Total share of enrollment of undergraduate degree-seeking students who are Asian
UGDS_AIAN	float	Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
UGDS_NHPI	float	Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander
UGDS_2MOR	float	Total share of enrollment of undergraduate degree-seeking students who are two or more races
UGDS_NRA	float	Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens
UGDS_UNKN	float	Total share of enrollment of undergraduate degree-seeking students whose race is unknown
UGDS_WHITENH	float	Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic
UGDS_BLACKNH	float	Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic
UGDS_API	float	Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander
UGDS_AIANOLD	float	Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
UGDS_HISPOLD	float	Total share of enrollment of undergraduate degree-seeking students who are Hispanic
UG_NRA	float	Total share of enrollment of undergraduate students who are non-resident aliens
UG_UNKN	float	Total share of enrollment of undergraduate students whose race is unknown
UG_WHITENH	float	Total share of enrollment of undergraduate students who are white non-Hispanic
UG_BLACKNH	float	Total share of enrollment of undergraduate students who are black non-Hispanic
UG_API	float	Total share of enrollment of undergraduate students who are Asian/Pacific Islander
UG_AIANOLD	float	Total share of enrollment of undergraduate students who are American Indian/Alaska Native
UG_HISPOLD	float	Total share of enrollment of undergraduate students who are Hispanic
PPTUG_EF	float	Share of undergraduate, degree-/certificate-seeking students who are part-time
PPTUG_EF2	float	Share of undergraduate, degree-/certificate-seeking students who are part-time
CURROPER	integer	Flag for currently operating institution, 0=closed, 1=operating
NPT4_PUB	integer	Average net price for Title IV institutions (public institutions)
NPT4_PRIV	integer	Average net price for Title IV institutions (private for-profit and nonprofit institutions)
NPT4_PROG	integer	Average net price for the largest program at the institution for program-year institutions
NPT4_OTHER	integer	Average net price for the largest program at the institution for schools on "other" academic year calendars
NPT41_PUB	integer	Average net price for $0-$30,000 family income (public institutions)
NPT42_PUB	integer	Average net price for $30,001-$48,000 family income (public institutions)
NPT43_PUB	integer	Average net price for $48,001-$75,000 family income (public institutions)
NPT44_PUB	integer	Average net price for $75,001-$110,000 family income (public institutions)
NPT45_PUB	integer	Average net price for $110,000+ family income (public institutions)
NPT41_PRIV	integer	Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)
NPT42_PRIV	integer	Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)
NPT43_PRIV	integer	Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)
NPT44_PRIV	integer	Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)
NPT45_PRIV	integer	Average net price for $110,000+ family income (private for-profit and nonprofit institutions)
NPT41_PROG	integer	Average net price for $0-$30,000 family income (program-year institutions)
NPT42_PROG	integer	Average net price for $30,001-$48,000 family income (program-year institutions)
NPT43_PROG	integer	Average net price for $48,001-$75,000 family income (program-year institutions)
NPT44_PROG	integer	Average net price for $75,001-$110,000 family income (program-year institutions)
NPT45_PROG	integer	Average net price for $110,000+ family income (program-year institutions)
NPT41_OTHER	integer	Average net price for $0-$30,000 family income (other academic calendar institutions)
NPT42_OTHER	integer	Average net price for $30,001-$48,000 family income (other academic calendar institutions)
NPT43_OTHER	integer	Average net price for $48,001-$75,000 family income (other academic calendar institutions)
NPT44_OTHER	integer	Average net price for $75,001-$110,000 family income (other academic calendar institutions)
NPT45_OTHER	integer	Average net price for $110,000+ family income (other academic calendar institutions)
NPT4_048_PUB	integer	Average net price for $0-$48,000 family income (public institutions)
NPT4_048_PRIV	integer	Average net price for $0-$48,000 family income (private for-profit and nonprofit institutions)
NPT4_048_PROG	integer	Average net price for $0-$48,000 family income (program-year institutions)
NPT4_048_OTHER	integer	Average net price for $0-$48,000 family income (other academic calendar institutions)
NPT4_3075_PUB	integer	Average net price for $30,001-$75,000 family income (public institutions)
NPT4_3075_PRIV	integer	Average net price for $30,001-$75,000 family income (private for-profit and nonprofit institutions)
NPT4_75UP_PUB	integer	Average net price for $75,000+ family income (public institutions)
NPT4_75UP_PRIV	integer	Average net price for $75,000+ family income (private for-profit and nonprofit institutions)
NPT4_3075_PROG	integer	Average net price for $30,001-$75,000 family income (program-year institutions)
NPT4_3075_OTHER	integer	Average net price for $30,001-$75,000 family income (other academic calendar institutions)
NPT4_75UP_PROG	integer	Average net price for $75,000+ family income (program-year institutions)
NPT4_75UP_OTHER	integer	Average net price for $75,000+ family income (other academic calendar institutions)
NUM4_PUB	integer	Number of Title IV students (public institutions)
NUM4_PRIV	integer	Number of Title IV students (private for-profit and nonprofit institutions)
NUM4_PROG	integer	Number of Title IV students (program-year institutions)
NUM4_OTHER	integer	Number of Title IV students (other academic calendar institutions)
NUM41_PUB	integer	Number of Title IV students, $0-$30,000 family income (public institutions)
NUM42_PUB	integer	Number of Title IV students, $30,001-$48,000 family income (public institutions)
NUM43_PUB	integer	Number of Title IV students, $48,001-$75,000 family income (public institutions)
NUM44_PUB	integer	Number of Title IV students, $75,001-$110,000 family income (public institutions)
NUM45_PUB	integer	Number of Title IV students, $110,000+ family income (public institutions)
NUM41_PRIV	integer	Number of Title IV students, $0-$30,000 family income (private for-profit and nonprofit institutions)
NUM42_PRIV	integer	Number of Title IV students, $30,001-$48,000 family income (private for-profit and nonprofit institutions)
NUM43_PRIV	integer	Number of Title IV students, $48,001-$75,000 family income (private for-profit and nonprofit institutions)
NUM44_PRIV	integer	Number of Title IV students, $75,001-$110,000 family income (private for-profit and nonprofit institutions)
NUM45_PRIV	integer	Number of Title IV students, $110,000+ family income (private for-profit and nonprofit institutions)
NUM41_PROG	integer	Number of Title IV students, $0-$30,000 family income (program-year institutions)
NUM42_PROG	integer	Number of Title IV students, $30,001-$48,000 family income (program-year institutions)
NUM43_PROG	integer	Number of Title IV students, $48,001-$75,000 family income (program-year institutions)
NUM44_PROG	integer	Number of Title IV students, $75,001-$110,000 family income (program-year institutions)
NUM45_PROG	integer	Number of Title IV students, $110,000+ family income (program-year institutions)
NUM41_OTHER	integer	Number of Title IV students, $0-$30,000 family income (other academic calendar institutions)
NUM42_OTHER	integer	Number of Title IV students, $30,001-$48,000 family income (other academic calendar institutions)
NUM43_OTHER	integer	Number of Title IV students, $48,001-$75,000 family income (other academic calendar institutions)
NUM44_OTHER	integer	Number of Title IV students, $75,001-$110,000 family income (other academic calendar institutions)
NUM45_OTHER	integer	Number of Title IV students, $110,000+ family income (other academic calendar institutions)
COSTT4_A	integer	Average cost of attendance (academic year institutions)
COSTT4_P	integer	Average cost of attendance (program-year institutions)
TUITIONFEE_IN	integer	In-state tuition and fees
TUITIONFEE_OUT	integer	Out-of-state tuition and fees
TUITIONFEE_PROG	integer	Tuition and fees for program-year institutions
TUITFTE	integer	Net tuition revenue per full-time equivalent student
INEXPFTE	integer	Instructional expenditures per full-time equivalent student
AVGFACSAL	integer	Average faculty salary
PFTFAC	float	Proportion of faculty that is full-time
PCTPELL	float	Percentage of undergraduates who receive a Pell Grant
C150_4	float	Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)
