"TABLE 1. NATIONAL TOTALS OF STATE AND LOCAL GOVERNMENT TAX REVENUE, BY TYPE OF TAX",b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s
12 Mo. End Mar 2009,265264,121729,60519,11641,71375,1089381,449888,290030,49101,300362,70.366,1.005,,,,,,
,,,,,,,,,,,,,,,,,,
Total Tax Revenue is the total of only the 4 major taxes.,,,,,,,,,,,,,,,,,,
"Estimated measures of sampling variability are based on estimates not adjusted for seasonal variation, trading day differences, or moving holidays.",,,,,,,,,,,,,,,,,,
Abbreviations and symbols:,,,,,,,,,,,,,,,,,,
Corporate: Corporation Net Income,,,,,,,,,,,,,,,,,,
tqrr: Total Quantity Response Rate,,,,,,,,,,,,,,,,,,
cv: Coefficient of Variation,,,,,,,,,,,,,,,,,,
"The tqrr and cv of Property, Individual Income, and Corporate Income taxes are unavailable for 2009 and 2010 due to unavailability of respondent data from 2009 and 2010.",,,,,,,,,,,,,,,,,,
R-Revised from previously published amount,,,,,,,,,,,,,,,,,,
Details may not add to the total due to independent rounding.,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Quarterly Summary of State and Local Government Tax Revenue.",,,,,,,,,,,,,,,,,,
